3D_003,24
"Filename","C:\MitakaPF_Data\V2_inject_20220817\V2_inject_S1.CSV"
"Measurment Method","3-D Cross SectionPrecise measurement"
"No. of Points in X direction",140
"No. of Points in Y direction",104
"Max. Value in X direction",103.20600
"Min. Value in X direction",75.60480
"Max. Value in Y direction",84.10440
"Min. Value in Y direction",63.50430
"Max. Value in Z direction",3.66162
"Min. Value in Z direction",1.60991
"Average in Z direction",2.36089
"Data Name","Index"
"Measuring Pitch","X : ",0.20000 ,"Y : ",0.20000
"Stage Pitch","X component: ",0.20000 ,"Y component: ",0.00000
"Measuring Range","X : ",13.80060 ,"Y : ",20.60010
"AF Gain",2
"AF Sensor","Select"
"Z Magnification",1.0
"Object Lens Magnification","LM100X"
"Laser Offset Value",""
"One/Both Side(s) Code","Both"

"X","Y","Z"
83.80540,63.90430,2.80823
84.00580,63.90430,2.80363
84.20580,63.90430,2.79905
84.40580,63.90430,2.79461
84.60570,63.90430,2.79023
84.80560,63.90430,2.78594
85.00570,63.90430,2.78174
85.20580,63.90430,2.77766
85.40570,63.90430,2.77370
85.60590,63.90430,2.76980
85.80580,63.90430,2.76603
86.00570,63.90430,2.76246
86.20580,63.90430,2.75896
86.40570,63.90430,2.75562
86.60570,63.90430,2.75235
86.80570,63.90430,2.74924
87.00490,63.90430,2.74622
87.20560,63.90430,2.74345
87.40510,63.90430,2.74073
87.60500,63.90430,2.73811
87.80510,63.90430,2.73577
88.00520,63.90430,2.73351
88.20500,63.90430,2.73141
88.40460,63.90430,2.72937
88.60490,63.90430,2.72766
88.80460,63.90430,2.72603
89.00470,63.90430,2.72458
89.20420,63.90430,2.72322
89.40510,63.90430,2.72205
89.40500,63.90430,2.72207
89.60560,63.90430,2.72105
89.80580,63.90430,2.72012
90.00580,63.90430,2.71939
90.20580,63.90430,2.71878
90.40600,63.90430,2.71836
90.60590,63.90430,2.71801
90.80590,63.90430,2.71792
91.00580,63.90430,2.71792
91.20590,63.90430,2.71808
91.40590,63.90430,2.71843
91.60590,63.90430,2.71885
91.80600,63.90430,2.71945
92.00590,63.90430,2.72010
92.20570,63.90430,2.72101
92.40580,63.90430,2.72204
92.60580,63.90430,2.72314
92.80580,63.90430,2.72444
93.00590,63.90430,2.72586
93.20590,63.90430,2.72743
93.40570,63.90430,2.72913
93.60560,63.90430,2.73090
93.80610,63.90430,2.73283
94.00580,63.90430,2.73490
94.20580,63.90430,2.73708
94.40610,63.90430,2.73934
94.60610,63.90430,2.74169
94.80610,63.90430,2.74412
95.00590,63.90430,2.74665
95.20610,63.90430,2.74927
95.40590,63.90430,2.75200
95.60610,63.90430,2.75476
95.80600,63.90430,2.75767
96.00620,63.90430,2.76061
96.20620,63.90430,2.76362
96.40610,63.90430,2.76652
96.60580,63.90430,2.76938
96.80600,63.90430,2.77217
97.00610,63.90430,2.77481
97.20610,63.90430,2.77733
97.40580,63.90430,2.77980
97.60620,63.90430,2.78235
97.80620,63.90430,2.78497
98.00440,63.90430,2.78763
98.20530,63.90430,2.79345
98.40530,63.90430,2.74393
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
98.40530,63.90430,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,"Error"
80.20540,64.10440,2.88518
80.40450,64.10440,2.89857
80.60560,64.10440,2.89642
80.80560,64.10440,2.89087
81.00580,64.10440,2.88536
81.20580,64.10440,2.88031
81.40570,64.10440,2.87543
81.60580,64.10440,2.87029
81.80560,64.10440,2.86512
82.00560,64.10440,2.85970
82.20540,64.10440,2.85415
82.40540,64.10440,2.84840
82.60560,64.10440,2.84262
82.80540,64.10440,2.83685
83.00550,64.10440,2.83119
83.20570,64.10440,2.82555
83.40580,64.10440,2.82000
83.60580,64.10440,2.81450
83.80560,64.10440,2.80940
84.00580,64.10440,2.80386
84.20580,64.10440,2.79870
84.40570,64.10440,2.79366
84.60580,64.10440,2.78867
84.80560,64.10440,2.78383
85.00580,64.10440,2.77906
85.20570,64.10440,2.77445
85.40530,64.10440,2.76999
85.60580,64.10440,2.76566
85.80570,64.10440,2.76148
86.00560,64.10440,2.75743
86.20430,64.10440,2.75350
86.40570,64.10440,2.74977
86.60580,64.10440,2.74617
86.80580,64.10440,2.74271
87.00560,64.10440,2.73942
87.20570,64.10440,2.73625
87.40510,64.10440,2.73331
87.60560,64.10440,2.73052
87.80510,64.10440,2.72790
88.00510,64.10440,2.72545
88.20420,64.10440,2.72320
88.40500,64.10440,2.72109
88.60500,64.10440,2.71920
88.80550,64.10440,2.71747
89.00450,64.10440,2.71585
89.20420,64.10440,2.71456
89.40510,64.10440,2.71337
89.40510,64.10430,2.71335
89.60630,64.10430,2.71233
89.80600,64.10430,2.71148
90.00570,64.10430,2.71075
90.20600,64.10430,2.71030
90.40610,64.10430,2.70995
90.60590,64.10430,2.70976
90.80590,64.10430,2.70980
91.00630,64.10430,2.70999
91.20590,64.10430,2.71040
91.40580,64.10430,2.71094
91.60590,64.10430,2.71166
91.80570,64.10430,2.71252
92.00600,64.10430,2.71358
92.20580,64.10430,2.71474
92.40580,64.10430,2.71608
92.60600,64.10430,2.71765
92.80610,64.10430,2.71933
93.00580,64.10430,2.72120
93.20580,64.10430,2.72317
93.40580,64.10430,2.72531
93.60610,64.10430,2.72766
93.80620,64.10430,2.73008
94.00610,64.10430,2.73265
94.20620,64.10430,2.73536
94.40620,64.10430,2.73814
94.60600,64.10430,2.74106
94.80600,64.10430,2.74411
95.00600,64.10430,2.74727
95.20610,64.10430,2.75051
95.40600,64.10430,2.75385
95.60600,64.10430,2.75731
95.80470,64.10430,2.76077
96.00500,64.10430,2.76443
96.20510,64.10430,2.76806
96.40510,64.10430,2.77173
96.60620,64.10430,2.77540
96.80610,64.10430,2.77902
97.00610,64.10430,2.78255
97.20640,64.10430,2.78584
97.40620,64.10430,2.78900
97.60630,64.10430,2.79191
97.80630,64.10430,2.79466
98.00610,64.10430,2.79730
98.20620,64.10430,2.80005
98.40610,64.10430,2.80292
98.60530,64.10430,2.79745
98.80630,64.10430,2.80106
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
98.80630,64.10430,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,"Error"
79.80460,64.30420,2.91453
80.00530,64.30420,2.91777
80.20550,64.30420,2.91723
80.40560,64.30420,2.91160
80.60500,64.30420,2.90577
80.80550,64.30420,2.90049
81.00500,64.30420,2.89527
81.20550,64.30420,2.88978
81.40560,64.30420,2.88394
81.60560,64.30420,2.87788
81.80560,64.30420,2.87170
82.00560,64.30420,2.86537
82.20560,64.30420,2.85906
82.40500,64.30420,2.85250
82.60560,64.30430,2.84610
82.80560,64.30420,2.83970
83.00550,64.30420,2.83335
83.20550,64.30420,2.82709
83.40550,64.30420,2.82089
83.60560,64.30420,2.81483
83.80570,64.30420,2.80886
84.00570,64.30420,2.80297
84.20560,64.30430,2.79724
84.40560,64.30420,2.79163
84.60560,64.30420,2.78609
84.80550,64.30420,2.78072
85.00560,64.30420,2.77549
85.20560,64.30420,2.77041
85.40560,64.30420,2.76544
85.60560,64.30420,2.76066
85.80520,64.30420,2.75602
86.00550,64.30420,2.75158
86.20560,64.30420,2.74730
86.40550,64.30420,2.74316
86.60560,64.30420,2.73921
86.80500,64.30420,2.73544
87.00550,64.30420,2.73184
87.20560,64.30420,2.72841
87.40560,64.30420,2.72520
87.60550,64.30420,2.72220
87.80480,64.30420,2.71936
88.00500,64.30420,2.71673
88.20490,64.30420,2.71430
88.40490,64.30420,2.71209
88.60480,64.30420,2.71004
88.80460,64.30420,2.70823
89.00480,64.30420,2.70659
89.20410,64.30420,2.70523
89.40520,64.30420,2.70401
89.40500,64.30430,2.70398
89.60630,64.30430,2.70297
89.80610,64.30430,2.70214
90.00590,64.30430,2.70153
90.20590,64.30430,2.70114
90.40610,64.30430,2.70093
90.60590,64.30430,2.70090
90.80590,64.30430,2.70106
91.00580,64.30430,2.70147
91.20590,64.30430,2.70214
91.40590,64.30430,2.70287
91.60590,64.30430,2.70383
91.80590,64.30430,2.70501
92.00590,64.30430,2.70634
92.20590,64.30430,2.70790
92.40590,64.30430,2.70964
92.60590,64.30430,2.71153
92.80600,64.30430,2.71363
93.00490,64.30430,2.71595
93.20610,64.30430,2.71831
93.40610,64.30430,2.72088
93.60600,64.30430,2.72366
93.80600,64.30430,2.72659
94.00610,64.30430,2.72970
94.20590,64.30430,2.73284
94.40620,64.30430,2.73619
94.60620,64.30430,2.73965
94.80590,64.30430,2.74328
95.00610,64.30430,2.74700
95.20490,64.30430,2.75081
95.40510,64.30430,2.75479
95.60440,64.30430,2.75875
95.80600,64.30430,2.76293
96.00630,64.30430,2.76718
96.20610,64.30430,2.77146
96.40630,64.30430,2.77581
96.60600,64.30430,2.78006
96.80450,64.30430,2.78437
97.00460,64.30430,2.78859
97.20610,64.30430,2.79285
97.40620,64.30430,2.79694
97.60610,64.30430,2.80092
97.80600,64.30430,2.80462
98.00620,64.30430,2.80797
98.20640,64.30430,2.81095
98.40620,64.30430,2.81363
98.60630,64.30430,2.81630
98.80460,64.30430,2.81938
99.00520,64.30430,2.81648
99.20620,64.30430,2.82122
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
